AUPRC,AUROC,RP80,eval_accuracy,eval_loss,global_step,training loss,learning_rate,gradient_accumulate,max_grad_norm,model_path
0.653,0.671,0.101,0.504,0.691,0.0,0.688,2e-05,1,3,eval_results_LEARNING_RATE_2e-05_gradient_accu_1_MAX_GRAD_NORM_3.txt
0.626,0.669,0.129,0.483,0.701,0.0,0.349,2e-05,2,5,eval_results_LEARNING_RATE_2e-05_gradient_accu_2_MAX_GRAD_NORM_5.txt
0.658,0.668,0.111,0.523,0.688,0.0,0.69,2e-05,1,1,eval_results_LEARNING_RATE_2e-05_gradient_accu_1_MAX_GRAD_NORM_1.txt
0.627,0.666,0.087,0.483,0.702,0.0,0.696,2e-05,1,5,eval_results_LEARNING_RATE_2e-05_gradient_accu_1_MAX_GRAD_NORM_5.txt
0.645,0.654,0.226,0.552,0.691,0.0,0.173,2e-05,4,5,eval_results_LEARNING_RATE_2e-05_gradient_accu_4_MAX_GRAD_NORM_5.txt
0.608,0.624,0.045,0.522,0.692,0.0,0.173,2e-05,4,1,eval_results_LEARNING_RATE_2e-05_gradient_accu_4_MAX_GRAD_NORM_1.txt
0.521,0.578,0.003,0.483,0.694,0.0,0.694,5e-05,1,1,eval_results_LEARNING_RATE_5e-05_gradient_accu_1_MAX_GRAD_NORM_1.txt
0.472,0.405,0.003,0.484,0.695,0.0,0.347,2e-05,2,1,eval_results_LEARNING_RATE_2e-05_gradient_accu_2_MAX_GRAD_NORM_1.txt
0.443,0.367,0.003,0.517,0.695,0.0,0.349,2e-05,2,3,eval_results_LEARNING_RATE_2e-05_gradient_accu_2_MAX_GRAD_NORM_3.txt
0.452,0.366,0.003,0.47,0.698,0.0,0.174,2e-05,4,3,eval_results_LEARNING_RATE_2e-05_gradient_accu_4_MAX_GRAD_NORM_3.txt
